iter	Passed	Remaining
0	122	122322
1	126	63343
2	131	43679
3	136	33945
4	141	28093
5	145	24181
6	149	21236
7	153	19010
8	156	17218
9	159	15781
10	162	14610
11	165	13604
12	167	12742
13	170	12005
14	173	11377
15	175	10813
16	178	10327
17	181	9880
18	183	9479
19	186	9124
20	189	8816
21	191	8528
22	194	8255
23	197	8011
24	199	7789
25	202	7583
26	205	7400
27	208	7235
28	210	7063
29	213	6902
30	216	6761
31	219	6637
32	222	6521
33	225	6403
34	228	6288
35	231	6188
36	234	6091
37	237	6002
38	239	5912
39	242	5824
40	245	5741
41	248	5668
42	251	5600
43	254	5527
44	257	5455
45	259	5389
46	262	5325
47	265	5270
48	269	5220
49	272	5170
50	275	5124
51	278	5083
52	282	5041
53	285	5002
54	287	4945
55	291	4910
56	294	4879
57	298	4849
58	301	4814
59	305	4780
60	308	4749
61	312	4725
62	315	4690
63	318	4661
64	322	4633
65	326	4621
66	331	4610
67	334	4589
68	339	4575
69	344	4574
70	348	4558
71	352	4540
72	356	4525
73	361	4517
74	364	4499
75	368	4485
76	373	4472
77	377	4459
78	380	4440
79	384	4425
80	389	4415
81	393	4400
82	396	4382
83	401	4373
84	405	4369
85	409	4356
86	414	4347
87	419	4342
88	423	4338
89	428	4332
90	433	4329
91	437	4319
92	441	4309
93	446	4302
94	451	4298
95	455	4293
96	460	4284
97	465	4280
98	469	4274
99	473	4265
100	478	4259
101	483	4260
102	488	4252
103	493	4253
104	498	4250
105	503	4243
106	508	4241
107	512	4236
108	517	4229
109	522	4226
110	527	4227
111	532	4221
112	537	4215
113	542	4212
114	546	4204
115	551	4199
116	556	4201
117	561	4195
118	565	4189
119	570	4184
120	575	4177
121	579	4171
122	584	4170
123	589	4165
124	594	4158
125	599	4157
126	604	4155
127	609	4150
128	614	4148
129	620	4149
130	625	4148
131	631	4149
132	637	4154
133	644	4163
134	652	4178
135	659	4189
136	665	4194
137	672	4201
138	679	4211
139	686	4218
140	692	4220
141	700	4230
142	707	4237
143	713	4240
144	719	4240
145	724	4239
146	730	4239
147	736	4242
148	743	4244
149	748	4244
150	755	4248
151	761	4247
152	767	4249
153	773	4250
154	779	4250
155	786	4254
156	793	4261
157	799	4262
158	807	4273
159	814	4275
160	822	4285
161	829	4288
162	834	4284
163	840	4284
164	847	4286
165	852	4283
166	858	4282
167	864	4280
168	869	4276
169	875	4274
170	881	4272
171	887	4270
172	893	4269
173	898	4264
174	903	4261
175	910	4261
176	916	4260
177	921	4256
178	927	4252
179	934	4255
180	939	4251
181	945	4248
182	951	4245
183	956	4241
184	961	4237
185	967	4233
186	972	4229
187	978	4226
188	984	4223
189	989	4219
190	995	4215
191	1001	4213
192	1006	4210
193	1012	4207
194	1018	4203
195	1024	4202
196	1030	4201
197	1036	4196
198	1042	4194
199	1047	4189
200	1052	4182
201	1057	4178
202	1069	4199
203	1080	4215
204	1090	4227
205	1098	4232
206	1107	4241
207	1117	4255
208	1127	4267
209	1138	4283
210	1147	4289
211	1154	4290
212	1161	4292
213	1170	4298
214	1175	4291
215	1181	4287
216	1186	4280
217	1191	4273
218	1196	4268
219	1202	4262
220	1207	4256
221	1213	4252
222	1218	4245
223	1224	4241
224	1230	4239
225	1236	4234
226	1242	4230
227	1248	4226
228	1254	4222
229	1260	4219
230	1265	4213
231	1271	4207
232	1276	4201
233	1281	4194
234	1286	4188
235	1291	4181
236	1296	4173
237	1301	4166
238	1306	4160
239	1311	4152
240	1316	4147
241	1321	4140
242	1326	4132
243	1331	4126
244	1337	4120
245	1342	4115
246	1348	4111
247	1354	4108
248	1360	4103
249	1366	4099
250	1371	4093
251	1377	4088
252	1382	4083
253	1388	4077
254	1394	4074
255	1399	4067
256	1405	4062
257	1411	4058
258	1416	4052
259	1422	4048
260	1428	4044
261	1433	4039
262	1440	4036
263	1445	4030
264	1451	4025
265	1457	4020
266	1462	4014
267	1469	4013
268	1481	4025
269	1487	4020
270	1494	4019
271	1499	4014
272	1507	4013
273	1513	4010
274	1519	4006
275	1526	4004
276	1534	4006
277	1542	4005
278	1548	4001
279	1555	4000
280	1561	3994
281	1566	3989
282	1572	3983
283	1578	3980
284	1585	3978
285	1592	3975
286	1598	3972
287	1605	3970
288	1613	3968
289	1621	3969
290	1629	3969
291	1635	3966
292	1642	3963
293	1650	3964
294	1657	3960
295	1666	3963
296	1677	3969
