feature,measured,dtype,history,coverage,uniq,mode_share,varies,verdict
AATR_14_1d,True,float32,623398,1.0,615002,5.61439080651526e-05,1.0,can carry a cross-sectional signal
ABB_Lower_1d,True,float32,623398,1.0,618724,1.924933990805232e-05,1.0,can carry a cross-sectional signal
ABB_Mid_1d,True,float32,623398,1.0,618015,2.0853451567056678e-05,1.0,can carry a cross-sectional signal
ABB_Upper_1d,True,float32,623398,1.0,618670,1.924933990805232e-05,1.0,can carry a cross-sectional signal
ACCELERATION_10_1d,True,float32,623398,1.0,564501,0.0003480922300039461,1.0,can carry a cross-sectional signal
ACCELERATION_5_1d,True,float32,623398,1.0,548623,0.0005309609591304432,1.0,can carry a cross-sectional signal
AEMA_20_1d,True,float32,623398,1.0,619198,4.331101479311772e-05,1.0,can carry a cross-sectional signal
ARSI_14_1d,True,float32,623398,1.0,592784,0.001506260847805094,1.0,can carry a cross-sectional signal
ATR_14_1d,True,float32,623398,1.0,619035,4.81233497701308e-06,1.0,can carry a cross-sectional signal
AUTOCORR_1d,True,float32,623398,1.0,620773,4.81233497701308e-06,1.0,can carry a cross-sectional signal
BB_Lower_1d,True,float32,623398,1.0,617919,5.453979640614824e-05,1.0,can carry a cross-sectional signal
BB_Middle_1d,True,float32,623398,1.0,613106,5.453979640614824e-05,1.0,can carry a cross-sectional signal
BB_Upper_1d,True,float32,623398,1.0,617916,5.453979640614824e-05,1.0,can carry a cross-sectional signal
CCI_1d,True,float32,623398,1.0,619785,0.00011068370447130084,1.0,can carry a cross-sectional signal
CDL_BODY_RATIO_1d,True,float32,623398,1.0,273357,0.013189006060333847,1.0,can carry a cross-sectional signal
CDL_DOJI_1d,True,float64,623398,1.0,2,0.8956461201351303,0.995735294117647,can carry a cross-sectional signal
CDL_INSIDE_BAR_1d,True,float64,623398,1.0,2,0.8742216048174681,0.9847058823529412,can carry a cross-sectional signal
CDL_LOWER_WICK_RATIO_1d,True,float32,623398,1.0,245165,0.06415323757856137,1.0,can carry a cross-sectional signal
CDL_UPPER_WICK_RATIO_1d,True,float32,623398,1.0,241839,0.07434095072489806,1.0,can carry a cross-sectional signal
CURRENT_DRAWDOWN_1d,True,float32,623398,1.0,535223,0.00013314126769736187,1.0,can carry a cross-sectional signal
EMA_100_1d,True,float32,623398,1.0,618907,4.81233497701308e-06,1.0,can carry a cross-sectional signal
EMA_10_1d,True,float32,623398,1.0,619087,4.81233497701308e-06,1.0,can carry a cross-sectional signal
EMA_200_1d,True,float32,623398,1.0,618921,4.81233497701308e-06,1.0,can carry a cross-sectional signal
EMA_20_1d,True,float32,623398,1.0,619025,4.81233497701308e-06,1.0,can carry a cross-sectional signal
EMA_50_1d,True,float32,623398,1.0,618985,4.81233497701308e-06,1.0,can carry a cross-sectional signal
EMA_5_1d,True,float32,623398,1.0,619051,1.764522824904796e-05,1.0,can carry a cross-sectional signal
HURST_EXPONENT_1d,True,float32,623398,1.0,620736,4.81233497701308e-06,1.0,can carry a cross-sectional signal
KURTOSIS_1d,True,float32,623398,1.0,619661,6.41644663601744e-06,1.0,can carry a cross-sectional signal
LAG_10_1d,True,float32,623398,1.0,533732,0.00013795360267437496,1.0,can carry a cross-sectional signal
LAG_1_1d,True,float32,623398,1.0,534049,0.00013795360267437496,1.0,can carry a cross-sectional signal
LAG_20_1d,True,float32,623398,1.0,533385,0.00013795360267437496,1.0,can carry a cross-sectional signal
LAG_5_1d,True,float32,623398,1.0,533908,0.00013795360267437496,1.0,can carry a cross-sectional signal
LEVEL_DIST_RESISTANCE_20_1d,True,float32,623398,1.0,599147,0.002847298194732739,0.9994117647058823,can carry a cross-sectional signal
LEVEL_DIST_SUPPORT_20_1d,True,float32,623398,1.0,598439,0.0003689456815710028,1.0,can carry a cross-sectional signal
LEVEL_POSITION_20_1d,True,float32,623398,1.0,594129,0.0005662514156285391,1.0,can carry a cross-sectional signal
MACD_1d,True,float32,623398,1.0,621750,4.81233497701308e-06,1.0,can carry a cross-sectional signal
MACD_Histogram_1d,True,float32,623398,1.0,621842,4.81233497701308e-06,1.0,can carry a cross-sectional signal
