feature,hold,net,beta,correlation,hedged,cost_of_hedging
MAX_DRAWDOWN_1d,1,-6.873651511883851,-0.12655822458540902,-0.44518592874623963,-7.973610079516508,1.0999585676326573
MAX_DRAWDOWN_1d,5,-2.4739072956458186,-0.15349873780958673,-0.4943100558635369,-2.4713800168586717,-0.0025272787871468694
MAX_DRAWDOWN_1d,20,-1.6618276981385507,-0.177899253340889,-0.5366039254380679,-1.3726990834992154,-0.28912861463933526
MAX_DRAWDOWN_1d,40,-1.456222066842424,-0.23107225417514252,-0.6209512621619488,-1.0553660189558152,-0.4008560478866088
MAX_DRAWDOWN_1d,60,-1.3010376319587047,-0.27071132176476886,-0.6629119309541421,-0.8265483868193648,-0.4744892451393399
MAX_DRAWDOWN_1d,120,-1.139668651307938,-0.33191620331652644,-0.7223488569361266,-0.5468425679595276,-0.5928260833484104
CURRENT_DRAWDOWN_1d,1,-6.895995819079136,-0.12614343254895463,-0.44392416468423107,-7.992131801700317,1.0961359826211812
CURRENT_DRAWDOWN_1d,5,-2.4904598109442064,-0.1534406464368647,-0.4943929086650667,-2.4906335153537187,0.0001737044095122542
CURRENT_DRAWDOWN_1d,20,-1.6627591621629247,-0.178085227859065,-0.5334631129260001,-1.3742474309922272,-0.2885117311706975
CURRENT_DRAWDOWN_1d,40,-1.4620028442250752,-0.23096070512427797,-0.6190042987008934,-1.0632133624582423,-0.39878948176683293
CURRENT_DRAWDOWN_1d,60,-1.306493083984557,-0.2707873436848161,-0.6616582636858683,-0.834353502263167,-0.47213958172139003
CURRENT_DRAWDOWN_1d,120,-1.1411297369425413,-0.3313399125712597,-0.7208077171404067,-0.5503727689421872,-0.590756968000354
AUTOCORR_1d,1,-5.9379043183490365,0.036938596974643675,0.1584171884225368,-5.917899776103664,-0.020004542245372292
AUTOCORR_1d,5,-0.7101351988521027,0.06616096615395903,0.26938544410727383,-0.9220892850683982,0.2119540862162954
AUTOCORR_1d,20,0.2621330285086757,0.08490741313944182,0.3219314260292118,-0.04198687294710719,0.3041199014557829
AUTOCORR_1d,40,0.36589135975507514,0.11623450158863398,0.3768913177762505,-0.017652995170329207,0.38354435492540434
AUTOCORR_1d,60,0.34584237717303823,0.15073959787738359,0.423595862680535,-0.09731100514296645,0.44315338231600465
AUTOCORR_1d,120,0.29927714289954266,0.22754611643387004,0.5162356854257731,-0.2749708571798531,0.5742480000793957
HURST_EXPONENT_1d,1,-6.647041220296637,-0.011190421375457102,-0.047795249827838775,-6.683260934164944,0.03621971386830758
HURST_EXPONENT_1d,5,-1.51340481337382,0.0038200499282738617,0.016025275166594098,-1.5241631216380402,0.010758308264220195
HURST_EXPONENT_1d,20,-0.4263013731187367,0.025298502970676658,0.09734234194633054,-0.520295445656299,0.09399407253756231
HURST_EXPONENT_1d,40,-0.2225290719038279,0.017634176477295163,0.06137060693468165,-0.2848560606697583,0.06232698876593043
HURST_EXPONENT_1d,60,-0.16074475000512217,0.003260304222306373,0.010548512368319631,-0.17156009993534735,0.010815349930225177
HURST_EXPONENT_1d,120,-0.08504235635462785,-0.05029013926269524,-0.13267035892205806,0.050136257150640746,-0.1351786135052686
SKEWNESS_1d,1,-6.227603746944564,0.028416217932081978,0.11674647066026375,-6.200187258243825,-0.027416488700739094
SKEWNESS_1d,5,-1.1605734568106798,0.027635242763958266,0.1066251840295199,-1.2379081173142579,0.07733466050357807
SKEWNESS_1d,20,-0.18522990233252223,0.03117745819992747,0.11454353234382153,-0.2946459521614544,0.10941604982893216
SKEWNESS_1d,40,-0.019400218671917286,0.05694672342544734,0.18703020417544358,-0.21338350409982768,0.19398328542791038
SKEWNESS_1d,60,0.055250718228078706,0.09899166973339588,0.2924042940738219,-0.25221689621409554,0.30746761444217424
SKEWNESS_1d,120,0.14082734449111145,0.18379940635033368,0.4510655455870734,-0.3513370074987517,0.49216435198986314
significant_events_30d_1d,1,-4.846544266176621,0.15723151792206944,0.5303213005663884,-5.342565586673834,0.4960213204972135
significant_events_30d_1d,5,-0.7629549456790534,0.15781864136008897,0.5078874585919151,-1.2748982814966408,0.5119433358175873
significant_events_30d_1d,20,0.023543401301514395,0.15433474526148833,0.4869297794847896,-0.4958228997753351,0.5193663010768496
significant_events_30d_1d,40,0.20263155939132424,0.15557777485133664,0.4538732707554283,-0.2853745932013996,0.48800615259272384
significant_events_30d_1d,60,0.2192544678527214,0.15384355346351067,0.42917974727587327,-0.24461057130931443,0.4638650391620358
significant_events_30d_1d,120,0.2358215911313664,0.17459291537630386,0.46062076241672145,-0.2690203583777471,0.5048419495091135
VOLATILITY_50_1d,1,-3.0515868975225233,0.2808909663688637,0.6853066437792804,-3.6275367021259473,0.5759498046034239
VOLATILITY_50_1d,5,-0.10096618033281723,0.29529738192133514,0.6757237069903234,-0.7414060871917174,0.6404399068589002
VOLATILITY_50_1d,20,0.4665185088244635,0.30706920699982926,0.6744295983208157,-0.22564210518947775,0.6921606140139412
VOLATILITY_50_1d,40,0.5686367255603895,0.3554207409295236,0.7125629522432498,-0.21344192082322017,0.7820786463836096
VOLATILITY_50_1d,60,0.586052131313123,0.4023130730206427,0.7459653467103565,-0.26030625302719074,0.8463583843403137
VOLATILITY_50_1d,120,0.5763536176960445,0.4814461722400929,0.8032098949857024,-0.3846981344005413,0.9610517520965858
SHARPE_RATIO_1d,1,-4.813239169104567,-0.06912966825190456,-0.21141896075772265,-5.053909608889171,0.240670439784604
SHARPE_RATIO_1d,5,-0.9287219367863099,-0.09793043982002007,-0.27153284238417374,-0.7786198547414133,-0.1501020820448966
SHARPE_RATIO_1d,20,-0.21196218732036948,-0.12169834040157247,-0.32665031504876274,0.10056993655778804,-0.31253212387815754
SHARPE_RATIO_1d,40,-0.10287551991686791,-0.09755458114271362,-0.2521231946227118,0.15621078593666687,-0.25908630585353476
SHARPE_RATIO_1d,60,-0.08452036859807187,-0.06254167065672012,-0.16064315614692254,0.08423726554427705,-0.1687576341423489
SHARPE_RATIO_1d,120,-0.09434703035093274,-0.003210483642422044,-0.008540171920609966,-0.0859648839144374,-0.008382146436495333
ACCELERATION_10_1d,1,-6.25027372263549,-0.015025249147547534,-0.05427517484826809,-6.292004835000885,0.04173111236539473
ACCELERATION_10_1d,5,-1.6382155836176266,-0.013141475945790973,-0.0452806104016137,-1.6100255671936299,-0.028190016423996767
ACCELERATION_10_1d,20,-0.36471719014336323,-0.004812266747759073,-0.015780407044938764,-0.3498171196784258,-0.01490007046493741
ACCELERATION_10_1d,40,-0.20078323134343462,-0.008147501741061046,-0.024671523558654106,-0.17626306357125154,-0.024520167772183077
ACCELERATION_10_1d,60,-0.12680363337177364,-0.011107573172899834,-0.031807241760317496,-0.09423388104826035,-0.03256975232351329
ACCELERATION_10_1d,120,-0.04774734434116446,-0.021552233077445665,-0.052453101256099956,0.005100606039864201,-0.052847950381028665
fund_return_on_equity_1d,1,-3.155566574215361,-0.025101936105239083,-0.20349644527819039,-3.3472982934051028,0.19173171918974186
fund_return_on_equity_1d,5,-0.8347631482778389,-0.0349983457354622,-0.2573668891677171,-0.6880170453031778,-0.14674610297466117
fund_return_on_equity_1d,20,-0.40246771371971757,-0.04899002977158987,-0.3105777995566173,-0.1161223889608906,-0.28634532475882696
fund_return_on_equity_1d,40,-0.3441688149974412,-0.0631314156487068,-0.3407998089526241,0.005588911567570156,-0.3497577265650113
fund_return_on_equity_1d,60,-0.2931387249862332,-0.08699039105917071,-0.3820677196064624,0.11791629250850427,-0.4110550174947375
fund_return_on_equity_1d,120,-0.24411901022659202,-0.15167909322488032,-0.47382596927419074,0.3343991522390418,-0.5785181624656338
market_context_volume_ratio_1d,1,-6.501134324007687,0.010770652672296712,0.04990741356590266,-6.4793637326060445,-0.021770591401642392
market_context_volume_ratio_1d,5,-1.2725183321364355,-0.0038792157497558244,-0.01664419622820806,-1.2617158360699183,-0.010802496066517175
market_context_volume_ratio_1d,20,-0.4360680949471442,-0.013816500070380978,-0.05632684749842521,-0.38387537615824147,-0.05219271878890275
market_context_volume_ratio_1d,40,-0.23643802802582164,-0.022913582733506174,-0.08488340232496301,-0.15160145341939618,-0.08483657460642546
market_context_volume_ratio_1d,60,-0.14217401329055673,-0.02001840501348736,-0.06388464614266526,-0.07793820170210425,-0.06423581158845248
market_context_volume_ratio_1d,120,-0.11185473103581597,-0.06731819256134446,-0.1790437314854061,0.07713733445834281,-0.18899206549415878
state_SMA_200_1d,1,-3.9954580983419303,-0.09676761007024477,-0.30989566590912115,-4.3972512815255,0.40179318318356927
state_SMA_200_1d,5,-0.8231054748861736,-0.11317689996844872,-0.3347139911148505,-0.6392917273211705,-0.18381374756500313
state_SMA_200_1d,20,-0.2257806473438892,-0.1410014142518201,-0.39921002436849956,0.16281477087295104,-0.38859541821684024
state_SMA_200_1d,40,-0.11282051634750836,-0.12006829107226082,-0.3522183958531149,0.2595294051979077,-0.372349921545416
state_SMA_200_1d,60,-0.0013655826262019687,-0.08076043227155297,-0.24435568171932953,0.2562505397222988,-0.25761612234850073
state_SMA_200_1d,120,-0.0005263444011618848,-0.009712127580765147,-0.03082515814862896,0.03061811754495792,-0.031144461946119806
SORTINO_RATIO_1d,1,-4.78988434930201,-0.06702120093882037,-0.20541170651332397,-5.019764690017646,0.2298803407156358
SORTINO_RATIO_1d,5,-0.9178578269217141,-0.09602518554261491,-0.2658553059751021,-0.7698181610391956,-0.1480396658825185
SORTINO_RATIO_1d,20,-0.211484581196204,-0.1166711383071434,-0.31367644637189734,0.08788567428661075,-0.29937025548281476
SORTINO_RATIO_1d,40,-0.10381724624715102,-0.09147878114828499,-0.2361683509161291,0.1379435269878217,-0.24176077323497272
SORTINO_RATIO_1d,60,-0.08843622213451276,-0.05570238907415102,-0.14243094141115112,0.06071377455483957,-0.14914999668935233
