component,module,class_name,method,status,row_count_before,row_count_after,added_columns,removed_columns,modified_columns_count,warnings,error
src.algorithms.bias_detector.BiasDetector,src.algorithms.bias_detector,BiasDetector,,TIMEOUT,16,-1,,,0,timeout>10s,
src.algorithms.regime_detector.MarketRegimeDetector,src.algorithms.regime_detector,MarketRegimeDetector,,TIMEOUT,16,-1,,,0,timeout>10s,
src.analytics.interfaces.IAnalyzer,src.analytics.interfaces,IAnalyzer,,TIMEOUT,16,-1,,,0,timeout>10s,
src.cli.argument_validator.ArgumentValidator,src.cli.argument_validator,ArgumentValidator,,TIMEOUT,16,-1,,,0,timeout>10s,
src.features.context_aware_feature_selector.ContextAwareFeatureSelector,src.features.context_aware_feature_selector,ContextAwareFeatureSelector,,TIMEOUT,16,-1,,,0,timeout>10s,
src.features.feature_selector.FeatureSelectorConfig,src.features.feature_selector,FeatureSelectorConfig,,TIMEOUT,16,-1,,,0,timeout>10s,
src.features.feature_selector.SimpleFeatureSelector,src.features.feature_selector,SimpleFeatureSelector,,TIMEOUT,16,-1,,,0,timeout>10s,
src.features.feature_selector.ColabFeatureSelector,src.features.feature_selector,ColabFeatureSelector,,TIMEOUT,16,-1,,,0,timeout>10s,
src.features.feature_selector.FeatureSelector,src.features.feature_selector,FeatureSelector,,TIMEOUT,16,-1,,,0,timeout>10s,
src.metrics.base.BaseMetricCalculator,src.metrics.base,BaseMetricCalculator,,INSTANTIATE_SKIPPED,16,-1,,,0,,TypeError('BaseMetricCalculator() takes no arguments')
src.metrics.calculator.MetricsCalculator,src.metrics.calculator,MetricsCalculator,,TIMEOUT,16,-1,,,0,timeout>10s,
src.models.feature_selector.ModelFeatureSelector,src.models.feature_selector,ModelFeatureSelector,,TIMEOUT,16,-1,,,0,timeout>10s,
src.monitoring.drift_detector.DriftDetector,src.monitoring.drift_detector,DriftDetector,,TIMEOUT,16,-1,,,0,timeout>10s,
src.patterns.pattern_analyzer.PatternAnalyzer,src.patterns.pattern_analyzer,PatternAnalyzer,,TIMEOUT,16,-1,,,0,timeout>10s,
src.risk.exposure_calculator.ExposureCalculator,src.risk.exposure_calculator,ExposureCalculator,,NO_KNOWN_METHOD,16,-1,,,0,,
src.risk_management.var_calculator.VaRCalculator,src.risk_management.var_calculator,VaRCalculator,calculate,EXECUTED,16,-1,,,0,NON_DATAFRAME_OUTPUT,
src.utils.metrics.MetricsCalculator,src.utils.metrics,MetricsCalculator,,NO_KNOWN_METHOD,16,-1,,,0,,
src.utils.missing_data_anomaly_detector.MissingDataAnomalyDetector,src.utils.missing_data_anomaly_detector,MissingDataAnomalyDetector,,NO_KNOWN_METHOD,16,-1,,,0,,
src.validation.data_leakage_detector.DataLeakageDetector,src.validation.data_leakage_detector,DataLeakageDetector,,NO_KNOWN_METHOD,16,-1,,,0,,
src.validation.time_series_validator.TimeSeriesValidator,src.validation.time_series_validator,TimeSeriesValidator,,TIMEOUT,16,-1,,,0,timeout>10s,
src.validation.validators.UnifiedValidator,src.validation.validators,UnifiedValidator,,TIMEOUT,16,-1,,,0,timeout>10s,
src.algorithms.regime.metrics.RegimeMetricsCalculator,src.algorithms.regime.metrics,RegimeMetricsCalculator,,TIMEOUT,16,-1,,,0,timeout>10s,
