path,category_guess,imported_by_count,risk_count,status,recommendation
__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
agents/pipeline_bridge.py,model,0,1,UNUSED_RISKY_QUARANTINE,Not imported and risky. Do not integrate without tests.
algorithms/adaptive_position_sizer.py,risk,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
algorithms/metrics_mixin.py,risk,4,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
algorithms/risk_parity_allocator.py,risk,1,2,ACTIVE_BUGGY_OR_RISKY,Used by source and has risk findings. Review/fix first.
algorithms/transaction_cost_model.py,model,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
algorithms/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
analytics/analyzer_registry.py,factory,0,0,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
analytics/interfaces.py,analyzer,7,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
analytics/meta_pattern_miner.py,target_calculator,0,11,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
analytics/panic_correlation_analyzer.py,analyzer,0,0,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
analytics/unified_analytics_engine.py,analyzer,3,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
analytics/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
archive/dean_integration.py,calculator,0,2,UNUSED_RISKY_QUARANTINE,Not imported and risky. Do not integrate without tests.
archive/financial_metrics.py,calculator,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
archive/legacy_smart_trader.py,utility_or_unknown,0,4,UNUSED_LEGACY,Likely legacy. Quarantine before deletion.
archive/online_model_integration.py,model,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
archive/portfolio_optimizer.py,calculator,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
cli/argument_parser.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
cli/argument_validator.py,target_calculator,0,0,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
cli/batch_manager.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
cli/pipeline_data_loader.py,collector,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
cli/pipeline_executor.py,orchestrator,0,1,UNUSED_RISKY_QUARANTINE,Not imported and risky. Do not integrate without tests.
colab/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
config/target_type_registry.py,target_calculator,2,1,ACTIVE_BUGGY_OR_RISKY,Used by source and has risk findings. Review/fix first.
config/unified_config_manager.py,model,88,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
config/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/base_integration.py,utility_or_unknown,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
core/exceptions.py,model,47,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
core/version_checker.py,validator,0,0,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
core/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
dashboard/dashboard_data_bridge.py,calculator,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
dashboard/main_app.py,risk,0,2,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
dashboard/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
data/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
devtools/rule_generator.py,utility_or_unknown,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
devtools/system_validator.py,validator,0,0,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
devtools/task_manager.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
devtools/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
ensembling/base_ensemble.py,utility_or_unknown,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
ensembling/caching.py,model,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
ensembling/stacked_ensemble.py,utility_or_unknown,5,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
factories/model_factory.py,model,5,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
factories/tree_model_factory.py,model,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/entity_linker.py,utility_or_unknown,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/feature_cache.py,utility_or_unknown,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/feature_orchestrator.py,enricher,5,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
