severity,rule_id,file,line,snippet,why
P1,FILLNA_ZERO_RISK,algorithms/advanced_backtest_engine.py,83,returns = equity.pct_change(fill_method=None).fillna(0),fillna(0) can hide missing data.
P0,TARGET_IN_FEATURE_MODULE,algorithms/risk_parity_allocator.py,175,target_vol_contrib = 1.0 / n_assets,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,algorithms/risk_parity_allocator.py,176,return np.sum((risk_contrib - target_vol_contrib) ** 2),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,cli/pipeline_executor.py,452,return [col for col in targets_df.columns if str(col).startswith('target_')],Feature-like module may create target columns.
P1,FILLNA_ZERO_RISK,meta_learning/dean_integration.py,118,returns = data['close'].pct_change(fill_method=None).fillna(0).tail(20),fillna(0) can hide missing data.
P1,FILLNA_ZERO_RISK,meta_learning/dean_integration.py,205,returns = data['close'].pct_change(fill_method=None).fillna(0).tail(20),fillna(0) can hide missing data.
P2,BROAD_EXCEPT,models/artifact_store.py,61,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,models/artifact_store.py,85,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,models/artifact_store.py,109,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,models/artifact_store.py,135,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,models/artifact_store.py,161,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,models/artifact_store.py,189,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,models/artifact_store.py,211,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,models/artifact_store.py,239,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,models/artifact_store.py,265,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,models/artifact_store.py,287,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,models/interfaces.py,74,except Exception:,Broad exception. Classify fatal/degraded paths.
P0,TARGET_IN_FEATURE_MODULE,monitoring/feature_drift_monitor.py,101,"if not col.startswith('target_') and col not in ['hash', 'interval']",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,predictions/models_predict.py,62,"target_scaler=None, ensemble_weights: dict[str, float] | None=None",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,predictions/models_predict.py,77,if target_scaler is not None:,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,predictions/models_predict.py,78,"y_pred = safe_inverse_transform(target_scaler, y_pred)",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,predictions/models_predict.py,109,target_scaler = None,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,predictions/models_predict.py,119,target_scaler = model,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,predictions/models_predict.py,123,"ensemble_result = get_predictions(models_dict, df, target_scaler=",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,predictions/models_predict.py,124,target_scaler),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,trading/signal_processor.py,80,target_features = historical_features.tail(1),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,trading/signal_processor.py,81,if target_features.empty:,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,trading/signal_processor.py,84,"{""historical_features"": historical_features, ""target_features"": target_features}",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,trading/signal_processor.py,84,"{""historical_features"": historical_features, ""target_features"": target_features}",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,trading/signal_processor.py,86,"return analysis.get(""similarities"", {}).get(target_features.index[-1], [])",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,trading/trading_orchestrator.py,140,target_features = historical_features.tail(1),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,trading/trading_orchestrator.py,142,'target_features': target_features},Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,trading/trading_orchestrator.py,142,'target_features': target_features},Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,trading/trading_orchestrator.py,145,"target_features.index[-1], [])",Feature-like module may create target columns.
P2,BROAD_EXCEPT,training/unified_training_manager.py,123,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P0,TARGET_IN_FEATURE_MODULE,validation/data_leakage_detector.py,22,"TARGET_LEAKAGE = ""target_leakage""",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,validation/pipeline_schemas.py,129,# Reject target_* columns in selected_features - targets belong in all_targets/target_manifest only,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,validation/pipeline_schemas.py,129,# Reject target_* columns in selected_features - targets belong in all_targets/target_manifest only,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,validation/pipeline_schemas.py,134,"""Targets should only be in all_targets/target_manifest, not in selected_features.""",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,validation/pipeline_schemas.py,139,"raise ValueError(""No targets found in all_targets. Targets must be defined in all_targets/target_manifest."")",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,validation/temporal_feature_separator.py,159,"def _detect_direct_target_proxy(self, col: str, feature: np.ndarray, target: np.ndarray, threshold: float) -> dict[str, Any] | None:",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,validation/temporal_feature_separator.py,166,"'pattern': 'direct_target_proxy',",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,validation/temporal_feature_separator.py,172,"def _detect_delayed_target_redundancy(self, col: str, feature: np.ndarray, target: np.ndarray, threshold: float) -> dict[str, Any] | None:",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,validation/temporal_feature_separator.py,185,"'pattern': 'delayed_target_redundancy',",Feature-like module may create target columns.
