file,symbol,kind,category,line
src/algorithms/adaptive_position_sizer.py,PositionSizingParams,class,other,24
src/algorithms/adaptive_position_sizer.py,LiquidityParams,class,other,38
src/algorithms/adaptive_position_sizer.py,AdaptivePositionSizer,class,other,47
src/algorithms/advanced_backtest_engine.py,AdvancedBacktestEngine,class,other,17
src/algorithms/bias_detector.py,BiasDetector,class,detector,11
src/algorithms/regime_detector.py,RegimeMetrics,class,detector,18
src/algorithms/regime_detector.py,MarketRegimeDetector,class,detector,27
src/algorithms/risk_parity_allocator.py,AllocationMethod,class,other,24
src/algorithms/risk_parity_allocator.py,RiskParityAllocator,class,other,34
src/algorithms/transaction_cost_model.py,TransactionCostModel,class,model,4
src/algorithms/walk_forward_optimizer.py,WalkForwardOptimizer,class,optimizer,13
src/algorithms/walk_forward_optimizer.py,WalkForwardOptimizerExtended,class,optimizer,187
src/analytics/interfaces.py,IAnalyzer,class,analyzer,5
src/analytics/unified_analytics_engine.py,UnifiedAnalyticsEngine,class,other,22
src/calibration/adaptive_confidence_calibrator.py,AdaptiveConfidenceCalibrator,class,other,29
src/calibration/calibration_engine.py,CalibrationEngine,class,other,31
src/cli/argument_validator.py,ArgumentValidator,class,validator,12
src/cli/batch_manager.py,BatchManager,class,other,14
src/cli/pipeline_data_loader.py,PipelineDataLoader,class,other,11
src/cli/pipeline_executor.py,PipelineExecutor,class,other,31
src/config/model_registry.py,ModelRegistry,class,model,4
src/config/unified_config_manager.py,Environment,class,other,22
src/config/unified_config_manager.py,DynamicConfig,class,other,28
src/config/unified_config_manager.py,UnifiedConfigManager,class,other,76
src/core/base_integration.py,BaseIntegration,class,other,8
src/core/exceptions.py,PipelineError,class,other,6
src/core/exceptions.py,DataLoadError,class,other,12
src/core/exceptions.py,DataProcessingError,class,other,18
src/core/exceptions.py,ModelTrainingError,class,model,24
src/core/exceptions.py,FeatureSelectionError,class,other,30
src/core/exceptions.py,ConfigurationError,class,other,36
src/core/version_checker.py,VersionChecker,class,other,19
src/data/data_loader.py,DataLoaderConfig,class,other,14
src/data/data_loader.py,ColabDataLoader,class,other,24
src/data_sources/local_file_data_source.py,LocalFileDataSource,class,other,11
src/devtools/rule_generator.py,ContextRuleGenerator,class,other,16
src/ensembling/stacked_ensemble.py,EnsembleResult,class,other,15
src/ensembling/stacked_ensemble.py,StackedEnsemble,class,other,22
src/factories/model_factory.py,ModelFactory,class,model,27
